name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2024-03-01T00:00:00,1.7,1.7,-11.2,37.92,0,0,,0,0,18.4,0.6,359,1031.8,0,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T01:00:00,1.1,-2.2,-8,50.66,0,0,,0,0,25.9,10.8,349,1032.6,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T02:00:00,0.6,0.6,-9,48.6,0,0,,0,0,14.8,0.6,359,1033.1,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T03:00:00,0,-2.6,-10.1,46.72,0,0,,0,0,13,7.6,288,1033.2,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T04:00:00,-0.7,-3.5,-10.1,48.91,0,0,,0,0,13,8,300,1034.5,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T05:00:00,-0.7,-4,-10.1,49,0,0,,0,0,11.2,9.5,251,1035.4,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T06:00:00,-0.7,-3.8,-9.4,51.49,0,0,,0,0,9.4,8.9,235,1036.4,0.4,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T07:00:00,-0.7,-3.8,-9.4,51.52,0,0,,0,0,9.4,8.9,254,1037.2,0.4,16,21,0.1,0,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T08:00:00,0.6,-2.3,-10.6,42.7,0,0,,0,0,9.4,9.2,231,1037.9,0.4,16,269,1,3,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T09:00:00,2.1,-1,-10.1,40.06,0,0,,0,0,9.4,11,241,1037.9,0.4,16,454,1.6,5,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T10:00:00,3.4,0.4,-9.4,38.75,0,0,,0,0,11.2,11.2,247,1038.2,0.4,16,591,2.1,6,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T11:00:00,5,2.1,-7.9,38.75,0,0,,0,0,13,12.7,212,1038.4,0.4,16,680,2.4,7,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T12:00:00,6.2,4.7,-8.4,34.37,0,0,,0,0,76,7.6,170,1037.6,0.4,16,714,2.6,7,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T13:00:00,7.2,4.6,-7.9,33.32,0,0,,0,0,22.3,14.1,200,1036.5,0.4,16,687,2.5,7,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T14:00:00,6.7,4.5,-6.2,39.09,0,0,,0,0,33.5,11.4,140,1036.2,0.8,16,555,2,6,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T15:00:00,6.7,3.6,-5.7,40.88,0,0,,0,0,25.9,16.8,180,1036.4,1.5,14.1,439,1.6,4,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T16:00:00,6.6,3.5,-4.5,44.8,0,0,,0,0,32,16.5,152,1036.1,3,16,229,0.8,2,10,Clear,clear-day,"72505394728,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T17:00:00,5.6,2.1,-3.9,50.29,0,0,,0,0,31.8,17.8,151,1036,1.5,16,42,0.2,0,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T18:00:00,5,2.8,-2.9,56.85,0,0,,0,0,26,9.5,160,1035.7,1.5,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T19:00:00,5,2.4,-2.2,59.8,0,0,,0,0,27.7,11.4,199,1035.8,1.5,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T20:00:00,4.4,1.7,-1.7,64.7,0,0,,0,0,37.1,11.2,200,1035.4,1.5,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T21:00:00,4.4,2.2,-0.7,69.53,0,0,,0,0,33.5,9.1,223,1035.5,1.5,16,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T22:00:00,4.4,2.1,0,73.02,0,0,,0,0,24.1,9.4,210,1035.3,27.7,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-01T23:00:00,4.4,1.4,0.6,76.55,0,0,,0,0,16.6,12.7,190,1034.5,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T00:00:00,5,4,1.1,75.7,0,0,,0,0,13,5.5,210,1034.5,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T01:00:00,5.7,3.6,1.7,75.36,0,0,,0,0,13,9.3,170,1034.1,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T02:00:00,5.7,3.3,2.2,78.11,0,0,,0,0,11.2,10.7,175,1033.7,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T03:00:00,5.7,4.7,2.2,78.19,0,0,,0,0,11.2,5.5,131,1032.9,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T04:00:00,5.7,3.4,2.8,81.74,0,0,,0,0,11.2,10.6,31,1032.2,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T05:00:00,6.2,3.6,3.3,82.05,0,0,,0,0,14.8,12.7,41,1031.8,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T06:00:00,6.2,4.6,3.3,82.11,0,0,,0,0,16.6,7.6,50,1031.7,99,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T07:00:00,6.2,3,3.8,85,0,0,,0,0,16.6,16.2,40,1030.9,100,16,11,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T08:00:00,6.6,3.9,4.3,85.26,0.028,100,rain,0,0,18.4,14.5,22,1030.4,100,15.8,40,0.1,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T09:00:00,6.7,3.9,5,88.91,0.031,100,rain,0,0,22.3,14.6,40,1029.9,100,13.8,33,0.1,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T10:00:00,7.2,4.5,5.6,90.03,0.057,100,rain,0,0,24.1,14.4,30,1029.1,100,10.7,58,0.2,1,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T11:00:00,7.8,5,6.6,92.38,0.045,100,rain,0,0,25.9,16.3,41,1028,100,15.4,76,0.3,1,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T12:00:00,8.3,5.5,7.1,92.4,0.031,100,rain,0,0,25.9,17.8,32,1026.8,100,5,47,0.2,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC"
"New York City,USA",2024-03-02T13:00:00,8.8,5.7,7.8,93.32,0.283,100,rain,0,0,29.5,21.8,51,1025.2,100,5.8,26,0.1,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T14:00:00,9.3,6.7,7.8,90.6,0.366,100,rain,0,0,33.5,17.9,50,1023.9,100,7.6,26,0.1,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T15:00:00,9.9,7,8.8,92.55,0.191,100,rain,0,0,31.8,23.6,40,1022.2,100,9.6,14,0.1,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC"
"New York City,USA",2024-03-02T16:00:00,10.6,10.6,9.4,91.82,0.196,100,rain,0,0,33.8,23.6,60,1020.7,100,4.9,49,0.2,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC"
"New York City,USA",2024-03-02T17:00:00,11.2,11.2,10.1,92.62,0.276,100,rain,0,0,37.1,23.8,52,1018.5,100,2,10,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T18:00:00,11.7,11.7,10.7,93.24,0.145,100,rain,0,0,43.2,22.1,51,1017.7,100,7.8,0,0,0,10,"Rain, Overcast",rain,"72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T19:00:00,10.7,10.7,9.4,91.7,0.162,100,rain,0,0,49.9,14.9,130,1017.5,100,13.7,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-03-02T20:00:00,9.5,9.5,8.4,93.35,0.011,100,rain,0,0,24.1,0.5,6,1017.3,100,5.9,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
